Title,Definition,Source
Polygamous marriages,"A polygamous marriage is one where a man can marry more than one spouse. A polygamous marriage between partners, one or both of whom are domiciled in England or Wales is not valid. The concept of ‘domicile’ is very complex and does not necessarily mean ‘living in’ a country. If you need to know about the validity of a polygamous marriage, you should get specialist legal advice.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Postponed possession orders  ,"A postponed possession order is similar to a suspended possession order. It means you’re allowed to stay in your home as long as you keep up the rent payments and pay back what you owe. If you don’t stick to this arrangement, your landlord can ask the court for permission to evict you. They’ll have to go through another procedure first though. This involves applying to the court for a possession date and then, once they've got this, applying for a warrant of eviction.",https://www.citizensadvice.org.uk/debt-and-money/rent-arrears/eviction-for-rent-arrears-debt-and-money/
Power of attorney,"When someone makes a power of attorney, they appoint someone else to act on their behalf. The person making the power of attorney is called adonorand the person appointed to act on their behalf is called anattorney. A power of attorney gives the attorney the legal authority to deal with third parties such as banks or the local council. Some types of power of attorney also give the attorney the legal power to make a decision on behalf of someone else such as where they should live or whether they should see a doctor.",https://www.citizensadvice.org.uk/family/looking-after-people/managing-affairs-for-someone-else/
Pre-nuptial and post-nuptial agreements,A pre-nuptial agreement is a contract entered into before marriage which outlines how a couple wish to divide their money and property if they get divorced. A post-nuptial agreement is similar but entered into after marriage. Pre-nuptial and post-nuptial agreements can be legally binding unless considered to be unfair by the court. You should get advice from a solicitor before you make an agreement. ,https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Pre-registration agreements  ,"As civil partners, you may choose to draw up an agreement, known as apre-registration agreement, before you register your partnership. A pre-registration agreement can set out your rights and obligations towards each other and, in particular, what should happen if your relationship breaks down. It can include arrangements for children and your personal possessions, for example, the family home and any pensions. Both of you should get independent legal advice when you make an agreement. A pre-registration agreement is not legally binding but could influence the courts if they get involved when ...",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Private arrangement,"You can arrange child maintenance directly with each other. This is called making a private or ‘family-based’ arrangement. You don’t have to follow any rules for a private arrangement. You can include whatever you want in it as long as you both agree. For example, you could agree one of you will cover the cost of a holiday or school uniforms instead of making regular payments.",https://www.citizensadvice.org.uk/family/children-and-young-people/child-maintenance1/making-a-private-child-maintenance-arrangement/agreeing-maintenance-between-you/
Probate,"If you are named in someone's will as an executor, you may have to apply for probate. This is a legal document which gives you the authority to share out the estate of the person who has died according to the instructions in the will. You do not always need probate to be able to deal with the estate. If you've been named in a will as an executor, you don't have to act if you don't want to.",https://www.citizensadvice.org.uk/family/death-and-wills/dealing-with-the-financial-affairs-of-someone-who-has-died/
Religion  ,"Someone with parental responsibility for a child has the right to choose which religion, if any, a child or young person should follow at home or at school. However, a child or young person may choose their own religion when they have sufficient understanding. If a parent considers the child's chosen religion to be harmful, they can try to stop the child taking part by taking court action. There is a general requirement on schools to provide religious education but it is possible for an individual child to be withdrawn from religious education.",https://www.citizensadvice.org.uk/law-and-courts/civil-rights/young-people-s-rights/
Religious marriage ceremonies,If you’re getting married with the Church of England or the Church in Wales you don't have to give notice of the marriage to the Register Office. If you or your partner is from outside the UK ask your vicar if you need to give 28 days notice to the Register Office. For other religious marriages you'll need to give 28 days notice of the marriage to the Register Office. Ministers and priests of all other religions can be authorised to register marriages and must have a certificate or licence to do so from the local Superintendent Registrar.,https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Remarriage/second marriage  ,"As long as the legal requirements described earlier are met, there is nothing to prevent you from marrying again in a civil ceremony in the UK if you are widowed or divorced or if you were in a civil partnership that has been dissolved. Religions have different rules about whether someone can remarry in a religious ceremony. If you or your partner has been married before, or has been in a civil partnership that is now dissolved, and you want a religious ceremony, you will need to check with an official of the relevant religion.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Rent increases  ,"If your rental agreement has an end date, you'll have a fixed-term agreement. If you’re on a fixed-term agreement, your landlord can only increase your rent if there’s a clause that allows it. This is called the ‘rent review clause’. If you’re not on a fixed-term agreement, your landlord can increase your rent whenever they want.",https://www.citizensadvice.org.uk/housing/excluded-occupiers-and-basic-protection/check-your-rights-if-youre-an-excluded-occupier/
Responsibility for children,"Not everyone who lives with or looks after a child has an automatic legal responsibility for that child. Having legal responsibility for a child is calledparental responsibility. It means that you can have a say in your child's healthcare, education, welfare and in whether your child can be taken abroad. A woman who has given birth to a child has automatic parental responsibility. So does a man who was married to or in a civil partnership with the mother at the time of the birth, although he can get parental responsibility in other ways too.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Rules of intestacy,"When a person dies without leaving a will, their estate has to be shared out according to certain rules. These are called the 'rules of intestacy'. A person’s estate is made up of their money and property. If a person dies without leaving a will, they’re called an ‘intestate person’. Usually married partners, civil partners, and some relatives can inherit under the rules of intestacy.",https://www.citizensadvice.org.uk/family/death-and-wills/who-can-inherit-if-there-is-no-will-the-rules-of-intestacy/
Sexual assault,"Sexual assault is when someone intentionally touches you without your consent. It wouldn’t count as consent if: you were subjected to violence or threats of violence
violence or threats of violence were made against someone else to force you to consent, you were asleep, unconscious, drugged or incapacitated by alcohol, or your disability meant you were not able to communicate your lack of consent.",https://www.citizensadvice.org.uk/family/gender-violence/rape-and-sexual-assault/
Skilled worker visas  ,"The rules for skilled worker visas changed in July 2025. You’ll now usually only get a new skilled worker visa if you need a degree-level qualification to do your job. The government have said there will be exceptions until the end of 2026. You'll be able to apply for jobs in sectors with staff shortages, even if they don't need a degree-level qualification. If you get a visa in this situation, you will not be able to bring your family to the UK as dependants.Check which jobs are in sectors with staff shortages on GOV.UK. From 8 January 2026, you'll have to show you have a higher level of Engl...",https://www.citizensadvice.org.uk/immigration/how-changes-to-immigration-rules-might-affect-you/
Spousal maintenance,"If your marriage or civil partnership ends, you can ask for financial support - known as ‘spousal maintenance’ - from your ex-partner as soon as you separate. If you have a court order for financial support - also known as ‘ancillary relief’ - your maintenance will normally stop when you remarry or start a civil partnership.",https://www.citizensadvice.org.uk/family/sorting-out-money/financial-support-when-you-separate/
Stillbirths  ,"A stillbirth is a birth after the 24th week of pregnancy where the child is not born alive. A doctor or midwife will issue a medical certificate of stillbirth, giving the cause. The parents must present the certificate to the Registrar of Births and Deaths within 42 days of the baby's delivery. In Scotland, the time limit is 21 days. If the parents are married, the registrar will need details of both parents. If the parents are not married, only the details of the mother are required but the father can give his details.",https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
Student grants  ,"The rules about student grants are the same whether you are living together with your partner or have registered a civil partnership. Your partner’s income is taken into account when deciding whether you are entitled to a student grant. However, your partner's income is ignored when deciding whether you qualify for a student loan.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Student loans  ,"There are two types of student loans - one for tuition fees and one for maintenance. You can take out a student loan for tuition fees, regardless of the income of your civil partner or partner who lives with you. All eligible full-time students can get a student loan for maintenance, but the exact amount you can borrow will depend on several things, which may include the income of your partner.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Supervision order,"Your local council can apply for a supervision order if they think your child is suffering significant harm, because you and your child’s other parent aren’t giving your child the right amount or kind of care can’t control your child’s behaviour.",https://www.citizensadvice.org.uk/family/children-and-young-people/protecting-children/court-orders-to-protect-children/
Suspended possession orders  ,"If your landlord was granted a suspended possession order, you’ll be allowed to stay in your home as long as you keep up the rent payments and pay back anything you owe. If you don’t stick to this arrangement, your landlord can apply for the court to issue a warrant of eviction. If the suspended possession order was made more than 6 years ago your landlord would first need to ask the court's permission to apply for a warrant of eviction. Your landlord doesn’t have to tell you that they’ve applied for the warrant. It might be possible to persuade your landlord not to apply for the warrant of ev...",https://www.citizensadvice.org.uk/debt-and-money/rent-arrears/eviction-for-rent-arrears-debt-and-money/
Tenants in common  ,"If you own your property as tenants in common, this means that it belongs to you and the other owner(s)jointly, but that you all also own a specific share of its value. It is up to you to decide how much each share will be. You can give away, sell or mortgage your share. If you die, your share of the property does not pass automatically to the other owner(s). You can leave your share to whoever you like in your will. In England and Wales, for more information about owning your property jointly, see the GOV.UK website atwww.gov.uk.",https://www.citizensadvice.org.uk/housing/buying-and-selling-a-home/buying-a-home/
Trade union  ,Unions can sometimes offer free legal help such as finding and paying for a solicitor - and not just for work problems. Speak to your shop steward or workplace representative or contact your union's head office to see if they can give you free legal help.,https://www.citizensadvice.org.uk/law-and-courts/legal-system/finding-free-or-affordable-legal-help/
Trade Unions  ,"If you're a member of a trade union, you should contact them to see if they can help with your problem at work, before trying to find help elsewhere. There might be a union representative in your workplace, or you might need to contact your local branch.",https://www.citizensadvice.org.uk/work/getting-help/what-help-can-i-get-with-a-problem-at-work/
Transgender people  ,"As a trans person, you have the protected characteristic of ‘gender reassignment’. Gender reassignment means you: are planning to transition from the sex you were assigned at birth to a different sex, are in the process of transitioning, have already transitioned. Transitioning could include things like changing your name, pronouns or the way you dress - you don’t need to have had medical treatment or a gender recognition certificate. A transgender person who has applied for and has been granted a full gender recognition certificate by the Gender Recognition Panel can get a new birth certificate which reflects their acquired gender. In England and Wales, they will then be able to marry someone of the opposite or same gender to their acquired gender. However, if a transgender person does not have a gender recognition certificate, they are legally considered to be the gender that is on their original birth certificate.",https://www.citizensadvice.org.uk/law-and-courts/discrimination/check-if-youre-protected-from-discrimination/transgender-discrimination-by-a-business/
Universal credit,"Universal Credit is the main benefit for most people of working age. You should check if you can get Universal Credit if: you’re over 18 and under State Pension age, you have less than £16,000 in savings or other investments. It's worth checking if you can get Universal Credit, even if you work full-time. There’s no set amount of income where you stop being eligible for Universal Credit - it depends on your situation. If you find it difficult to work because you’re sick or disabled, you might get more Universal Credit or not have to look for work. ",https://www.citizensadvice.org.uk/benefits/benefits-introduction/what-benefits-can-i-get/
Welfare benefits  ,"All couples, whether married or living together are treated in the same way when they are assessed for entitlement to most welfare benefits. If they are claiming means-tested benefits, they will usually be expected to claim as a couple, and the income, savings and financial needs of both partners are taken into account. There are different rules for different benefits. To find out more about a particular welfare benefit,see the Benefits section.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-marriage-legal-differences/
Wills  ,"If you are under 18, you cannot make a valid will unless you are in the armed forces or a seafarer. No one under the age of 18 can act as a trustee, executor or administrator of a will.",https://www.citizensadvice.org.uk/family/children-and-young-people/young-people-and-family/
